peak_1	1	187152	187153	+
peak_2	1	238699	238698	-
peak_3	1	264150	264149	-
peak_4	1	368621	368622	+
peak_5	1	368623	368624	+
peak_6	1	368638	368639	+
peak_7	1	368700	368701	+
peak_8	1	368703	368704	+
peak_9	1	368726	368727	+
peak_10	1	368729	368730	+
peak_11	1	368760	368761	+
peak_12	1	368945	368946	+
peak_13	1	369255	369256	+
peak_14	1	370410	370411	+
peak_15	1	370413	370414	+
peak_16	1	370505	370506	+
peak_17	1	370530	370531	+
peak_18	1	370599	370600	+
peak_19	1	370602	370603	+
peak_20	1	370605	370606	+
peak_21	1	515004	515005	+
peak_22	1	546417	546418	+
peak_23	1	651264	651265	+
peak_24	1	680030	680031	+
peak_25	1	696742	696741	-
peak_26	1	1008997	1008996	-
peak_27	1	1039168	1039169	+
peak_28	1	1039171	1039172	+
peak_29	1	1148463	1148462	-
peak_30	1	1148464	1148463	-
peak_31	1	1225267	1225266	-
peak_32	1	1225268	1225267	-
peak_33	1	1485397	1485396	-
peak_34	1	1802419	1802420	+
peak_35	1	1875513	1875514	+
peak_36	1	1981673	1981674	+
peak_37	1	2008390	2008391	+
peak_38	1	2037240	2037241	+
peak_39	1	2101830	2101831	+
peak_40	1	2102359	2102358	-
peak_41	1	2157744	2157743	-
peak_42	1	2207030	2207031	+
peak_43	1	2256724	2256723	-
peak_44	1	2343730	2343729	-
peak_45	1	2426056	2426057	+
peak_46	1	2467373	2467372	-
peak_47	1	2539936	2539937	+
peak_48	1	2875978	2875977	-
peak_49	1	2993473	2993472	-
peak_50	1	3022514	3022515	+
peak_51	1	3049440	3049439	-
peak_52	1	3123198	3123199	+
peak_53	1	3280074	3280075	+
peak_54	1	3366097	3366098	+
peak_55	1	3402246	3402247	+
peak_56	1	3427502	3427503	+
peak_57	1	3462399	3462400	+
peak_58	1	3462415	3462416	+
peak_59	1	3462539	3462540	+
peak_60	1	3462865	3462866	+
peak_61	1	3468555	3468554	-
peak_62	1	3644461	3644462	+
peak_63	1	3697377	3697378	+
peak_64	1	3708336	3708335	-
peak_65	1	3872526	3872525	-
peak_66	1	4047721	4047720	-
peak_67	1	4063370	4063369	-
peak_68	1	4063371	4063370	-
peak_69	1	4063372	4063371	-
peak_70	1	4090317	4090318	+
peak_71	1	4130508	4130507	-
peak_72	1	4148038	4148037	-
peak_73	1	4163166	4163165	-
peak_74	1	4440715	4440714	-
peak_75	1	4444664	4444665	+
peak_76	1	4506622	4506623	+
peak_77	1	4533791	4533790	-
peak_78	1	4534101	4534100	-
peak_79	1	4541456	4541457	+
peak_80	1	4542481	4542482	+
peak_81	1	4543974	4543973	-
peak_82	1	4596167	4596166	-
peak_83	1	4597794	4597795	+
peak_84	1	4736142	4736143	+
peak_85	1	4854721	4854720	-
peak_86	1	4999833	4999834	+
peak_87	1	5030079	5030080	+
peak_88	1	5080956	5080957	+
peak_89	1	5328081	5328080	-
peak_90	1	5495326	5495327	+
peak_91	1	5603905	5603904	-
peak_92	1	5627714	5627713	-
peak_93	1	5641691	5641690	-
peak_94	1	5713370	5713369	-
peak_95	1	5735503	5735502	-
peak_96	1	5832430	5832431	+
peak_97	1	6149160	6149161	+
peak_98	1	6475399	6475398	-
peak_99	1	6527125	6527126	+
peak_100	1	6530638	6530637	-
peak_101	1	6536029	6536028	-
peak_102	1	6536160	6536159	-
peak_103	1	6536161	6536160	-
peak_104	1	6536163	6536162	-
peak_105	1	6536164	6536163	-
peak_106	1	6536178	6536177	-
peak_107	1	6544276	6544275	-
peak_108	1	6563816	6563815	-
peak_109	1	6651014	6651015	+
peak_110	1	6750071	6750072	+
peak_111	1	6802794	6802795	+
peak_112	1	6826485	6826486	+
peak_113	1	6826491	6826492	+
peak_114	1	7248783	7248784	+
peak_115	1	7284001	7284000	-
peak_116	1	7284002	7284001	-
peak_117	1	7296130	7296129	-
peak_118	1	7391949	7391950	+
peak_119	1	7398285	7398286	+
peak_120	1	7483913	7483914	+
peak_121	1	7564533	7564532	-
peak_122	1	7770589	7770590	+
peak_123	1	7820518	7820517	-
peak_124	1	7820569	7820568	-
peak_125	1	7820613	7820612	-
peak_126	1	7820700	7820699	-
peak_127	1	7820934	7820933	-
peak_128	1	7856482	7856481	-
peak_129	1	7856524	7856523	-
peak_130	1	7944790	7944791	+
peak_131	1	8032885	8032886	+
peak_132	1	8039823	8039824	+
peak_133	1	8143072	8143073	+
peak_134	1	8442752	8442753	+
peak_135	1	8453860	8453861	+
peak_136	1	8454053	8454052	-
peak_137	1	8543917	8543918	+
peak_138	1	8556021	8556020	-
peak_139	1	8556042	8556041	-
peak_140	1	8612605	8612606	+
peak_141	1	8622055	8622054	-
peak_142	1	8698053	8698054	+
peak_143	1	8974292	8974291	-
peak_144	1	8974296	8974295	-
peak_145	1	8975778	8975777	-
peak_146	1	9154480	9154479	-
peak_147	1	9300619	9300620	+
peak_148	1	9302048	9302047	-
peak_149	1	9427246	9427247	+
peak_150	1	9432927	9432926	-
peak_151	1	9558323	9558322	-
peak_152	1	9581945	9581944	-
peak_153	1	9799089	9799088	-
peak_154	1	9906920	9906921	+
peak_155	1	9907062	9907061	-
peak_156	1	9987396	9987395	-
peak_157	1	10040942	10040941	-
peak_158	1	10040944	10040943	-
peak_159	1	10040964	10040963	-
peak_160	1	10041144	10041143	-
peak_161	1	10068926	10068927	+
peak_162	1	10069981	10069982	+
peak_163	1	10087786	10087787	+
peak_164	1	10170216	10170215	-
peak_165	1	10377145	10377146	+
peak_166	1	10388758	10388757	-
peak_167	1	10391261	10391260	-
peak_168	1	10415446	10415445	-
peak_169	1	10428236	10428237	+
peak_170	1	10496351	10496350	-
peak_171	1	10509876	10509877	+
peak_172	1	10540979	10540980	+
peak_173	1	10665342	10665343	+
peak_174	1	10819144	10819145	+
peak_175	1	10847598	10847597	-
peak_176	1	10847677	10847676	-
peak_177	1	10973752	10973753	+
peak_178	1	11067488	11067489	+
peak_179	1	11241381	11241382	+
peak_180	1	11360803	11360804	+
peak_181	1	11483261	11483262	+
peak_182	1	11486689	11486690	+
peak_183	1	11668411	11668412	+
peak_184	1	11688486	11688485	-
peak_185	1	11840346	11840347	+
peak_186	1	11867649	11867650	+
peak_187	1	11908027	11908028	+
peak_188	1	11938655	11938654	-
