# HOMER Peaks
# Peak finding parameters:
# tag directory = posFile_89_90/
#
# total peaks = 26698
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 7931647.0
# Total tags in peaks = 7173674.0
# Approximate IP efficiency = 90.44%
# tags per bp = 0.003966
# expected tags per peak = 0.297
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.151667e-08
# FDR tag threshold = 7.0
# number of putative peaks = 31345
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 4647
#
# cmd = findPeaks posFile_89_90/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
4-1	4	1079018	1079168	+	322011.3	0.996	255429.000000	60330.19	0.00e+00	0.993281	0.850233
2-1	2	18759421	18759571	-	177862.2	0.997	141102.000000	16782.35	0.00e+00	0.994400	0.412658
7-1	7	147095151	147095301	-	126541.2	0.995	100519.000000	2856.88	0.00e+00	0.994829	0.475915
1-1	1	213701326	213701476	-	109776.7	0.999	87082.000000	5183.74	0.00e+00	0.975824	0.559620
3-1	3	47220807	47220957	+	95991.4	0.944	76137.000000	8880.40	0.00e+00	0.952480	0.156440
4-2	4	190229940	190230090	-	92201.5	0.981	73402.000000	6277.48	0.00e+00	0.981335	0.834432
4-3	4	83199556	83199706	+	88909.7	0.916	70523.000000	3513.52	0.00e+00	0.914833	0.089411
scaffold_159-1	scaffold_159	723	873	+	83047.1	0.983	66006.000000	14915.39	0.00e+00	0.979080	0.135704
3-2	3	192096885	192097035	+	65459.3	0.930	51959.000000	11402.72	0.00e+00	0.933490	0.157499
6-1	6	164174699	164174849	-	60244.7	0.930	47879.000000	4697.33	0.00e+00	0.568527	0.695411
9-1	9	139449204	139449354	+	60137.6	0.442	47752.000000	2164.64	0.00e+00	0.444482	0.495462
5-1	5	85425421	85425571	+	57264.3	0.949	45681.000000	1197.34	0.00e+00	0.937649	0.476695
6-3	6	54372804	54372954	+	55693.4	0.954	44174.000000	3311.37	0.00e+00	0.919267	0.464999
6-2	6	146189891	146190041	-	55361.8	0.969	44441.000000	871.14	0.00e+00	0.970659	0.586957
1-2	1	141745594	141745744	+	48017.8	0.995	38099.000000	21194.75	0.00e+00	0.994617	0.760976
10-1	10	10200733	10200883	-	45341.2	0.890	36026.000000	543.64	0.00e+00	0.961377	0.650108
5-2	5	142750237	142750387	-	41168.0	0.971	32982.000000	3978.13	0.00e+00	0.933918	0.412035
6-4	6	163078667	163078817	+	40299.3	0.986	31973.000000	13809.01	0.00e+00	0.984264	0.202783
2-2	2	143429428	143429578	+	37492.8	0.972	29856.000000	3576.55	0.00e+00	0.972123	0.733414
1-3	1	221539008	221539158	+	37427.3	0.911	30657.000000	1095.77	0.00e+00	0.429576	0.256651
6-5	6	23727788	23727938	-	34513.6	0.997	27671.000000	2261.16	0.00e+00	0.997114	0.658228
1-4	1	283502665	283502815	-	32521.6	0.999	25838.000000	3558.55	0.00e+00	0.587811	0.571498
7-2	7	160294983	160295133	+	31665.6	0.962	25377.000000	2225.75	0.00e+00	0.949634	0.589723
1-5	1	38320981	38321131	+	30341.7	0.944	24066.000000	6931.29	0.00e+00	0.917352	0.394168
8-1	8	141176002	141176152	+	30332.9	0.991	24122.000000	4114.26	0.00e+00	0.991147	0.657277
6-6	6	124985514	124985664	+	30128.7	0.769	24000.000000	5078.43	0.00e+00	0.761853	0.571956
3-3	3	212517788	212517938	+	29795.8	0.992	24290.000000	2088.69	0.00e+00	0.995260	0.160714
10-2	10	144525058	144525208	-	28978.8	0.999	23016.000000	3469.77	0.00e+00	0.996171	0.340909
3-4	3	215555149	215555299	-	28319.5	0.982	22809.000000	679.73	0.00e+00	0.984373	0.290598
2-3	2	56737646	56737796	-	28316.9	0.683	23175.000000	1017.86	0.00e+00	0.612450	0.431896
7-3	7	4801018	4801168	-	26797.7	0.950	21328.000000	10494.32	0.00e+00	0.903270	0.495136
3-5	3	230695642	230695792	-	26669.1	0.995	21191.000000	4146.41	0.00e+00	0.993902	0.697674
10-3	10	119843528	119843678	-	25433.6	0.839	20519.000000	1134.16	0.00e+00	0.681044	0.420324
2-4	2	204498457	204498607	+	25257.1	0.982	22012.000000	568.74	0.00e+00	0.722997	0.838647
5-3	5	178133054	178133204	+	23908.0	1.000	19449.000000	2011.69	0.00e+00	0.755049	0.080947
10-4	10	34240583	34240733	+	22090.0	0.976	17524.000000	3455.09	0.00e+00	0.975515	0.149184
6-7	6	156319430	156319580	-	21866.8	0.997	17359.000000	2798.34	0.00e+00	0.981320	0.626543
6-8	6	1374122	1374272	-	21602.1	0.925	17222.000000	8094.48	0.00e+00	0.923724	0.722818
7-4	7	11447619	11447769	-	21462.1	0.994	17062.000000	7762.80	0.00e+00	0.993538	0.436364
3-6	3	174870639	174870789	-	21105.3	0.983	16740.000000	1129.76	0.00e+00	0.943489	0.501057
8-2	8	1888969	1889119	+	20833.0	0.974	16586.000000	1145.80	0.00e+00	0.402687	0.627356
9-2	9	108447901	108448051	+	20660.3	0.966	16452.000000	5880.22	0.00e+00	0.965072	0.795812
6-9	6	6262209	6262359	-	20425.8	0.611	16214.000000	3911.27	0.00e+00	0.480999	0.680257
7-5	7	5134203	5134353	+	20249.3	0.906	16095.000000	3575.16	0.00e+00	0.634643	0.147751
3-7	3	110466925	110467075	+	18417.4	0.360	14608.000000	38370.35	0.00e+00	0.351725	0.584161
10-5	10	132447176	132447326	-	18155.1	0.944	14400.000000	9362.38	0.00e+00	0.945000	0.275253
1-6	1	247606517	247606667	+	18102.2	0.999	14358.000000	13865.32	0.00e+00	0.997702	0.121212
3-8	3	147331228	147331378	-	17884.1	0.979	14187.000000	3412.02	0.00e+00	0.977018	0.582822
6-10	6	4596812	4596962	+	17841.2	0.998	14152.000000	38718.71	0.00e+00	0.991591	0.294118
4-4	4	240651887	240652037	+	17251.1	0.989	13687.000000	928.22	0.00e+00	0.990938	0.685484
8-3	8	90247346	90247496	+	17170.5	0.998	13714.000000	5110.37	0.00e+00	0.776089	0.025254
3-9	3	225869053	225869203	-	16453.1	0.997	13084.000000	12790.30	0.00e+00	0.997241	0.305556
6-11	6	165101231	165101381	+	16426.6	0.993	13153.000000	683.91	0.00e+00	0.992709	0.600000
2-5	2	42887831	42887981	-	16212.3	0.927	12862.000000	112.63	0.00e+00	0.900334	0.677847
7-6	7	1144114	1144264	+	15869.3	0.872	12652.000000	3443.94	0.00e+00	0.832685	0.484805
5-4	5	5287408	5287558	+	15744.5	0.848	12490.000000	3306.63	0.00e+00	0.799680	0.837330
3-10	3	156004210	156004360	-	15279.3	0.853	12128.000000	3343.76	0.00e+00	0.592788	0.742452
8-4	8	69108691	69108841	+	15152.0	0.996	13316.000000	480.92	0.00e+00	0.993188	0.475610
5-5	5	168712550	168712700	+	14918.7	0.946	11964.000000	2100.09	0.00e+00	0.956812	0.056751
1-7	1	222643807	222643957	+	14902.3	0.985	11838.000000	4732.80	0.00e+00	0.985284	0.706897
6-12	6	128637968	128638118	+	14623.7	0.990	11637.000000	11717.96	0.00e+00	0.954996	0.095785
10-6	10	147325797	147325947	+	14584.6	0.940	11573.000000	3014.41	0.00e+00	0.890128	0.802518
4-5	4	152459545	152459695	-	13854.6	0.996	11207.000000	1840.84	0.00e+00	0.992812	0.620253
3-11	3	185366570	185366720	-	13700.8	0.704	10870.000000	9389.47	0.00e+00	0.700653	0.791577
8-5	8	167216417	167216567	+	13618.9	0.868	10824.000000	5254.31	0.00e+00	0.836882	0.229285
7-7	7	38037682	38037832	+	13468.8	0.953	10684.000000	4838.05	0.00e+00	0.784852	0.305048
5-6	5	10523648	10523798	-	13041.4	0.845	10350.000000	61750.55	0.00e+00	0.855417	0.622326
8-6	8	70314151	70314301	-	13016.2	0.975	10383.000000	1291.32	0.00e+00	0.972491	0.806338
5-7	5	191005981	191006131	+	12719.9	0.959	10176.000000	3764.27	0.00e+00	0.960155	0.318408
7-8	7	104689000	104689150	+	12621.6	0.822	10011.000000	93912.71	0.00e+00	0.571072	0.512343
8-7	8	156641137	156641287	-	12576.2	0.648	10002.000000	1475.28	0.00e+00	0.992080	0.607595
2-6	2	209641647	209641797	-	12440.0	0.979	9904.000000	6170.79	0.00e+00	0.958063	0.695652
4-6	4	59678613	59678763	-	12128.6	0.959	9622.000000	3342.40	0.00e+00	0.869335	0.747812
5-8	5	203097087	203097237	-	11764.3	0.998	9421.000000	1017.83	0.00e+00	0.519490	0.488077
5-9	5	208123072	208123222	+	11739.0	0.983	9317.000000	9705.12	0.00e+00	0.989797	0.347368
10-7	10	144892971	144893121	-	11668.4	0.993	9269.000000	20956.72	0.00e+00	0.992653	0.397059
2-7	2	5929697	5929847	+	11665.9	0.796	9263.000000	6137.51	0.00e+00	0.817573	0.125592
2-8	2	46587123	46587273	+	11497.0	0.833	9194.000000	4829.15	0.00e+00	0.833315	0.746053
7-9	7	157315892	157316042	-	11410.0	0.969	9077.000000	634.92	0.00e+00	0.889834	0.842528
4-7	4	236370313	236370463	-	11383.5	0.992	9049.000000	3009.67	0.00e+00	0.883930	0.456107
6-13	6	1341242	1341392	-	11155.3	0.585	8968.000000	1035.68	0.00e+00	0.338745	0.277663
1-8	1	35748648	35748798	-	10927.1	0.991	8667.000000	306.81	0.00e+00	0.987193	0.414414
6-14	6	88908386	88908536	+	10872.9	0.925	8625.000000	691.46	0.00e+00	0.839402	0.446209
3-12	3	127533893	127534043	-	10635.9	0.853	8477.000000	5710.97	0.00e+00	0.947425	0.637387
9-3	9	23749016	23749166	+	10620.7	0.996	8425.000000	39512.57	0.00e+00	0.994302	0.687500
7-10	7	33249073	33249223	-	10551.4	0.997	8369.000000	6245.05	0.00e+00	0.381490	0.491450
4-8	4	165728836	165728986	-	10508.5	0.615	8350.000000	2171.95	0.00e+00	0.756047	0.969770
10-8	10	138835105	138835255	-	10497.2	0.873	8349.000000	5413.27	0.00e+00	0.957002	0.558659
7-12	7	4831588	4831738	+	10432.9	0.959	8283.000000	6546.89	0.00e+00	0.945498	0.909091
2-9	2	170193545	170193695	-	10347.2	0.844	8231.000000	1484.65	0.00e+00	0.727793	0.461056
3-13	3	187592685	187592835	+	10324.5	0.939	8209.000000	1810.59	0.00e+00	0.864842	0.337251
7-11	7	145215515	145215665	+	10212.3	0.801	8318.000000	1096.70	0.00e+00	0.542024	0.678841
10-9	10	16219665	16219815	-	10129.0	0.849	8113.000000	1046.76	0.00e+00	0.508942	0.277946
7-14	7	131227642	131227792	+	10106.4	0.381	8059.000000	1411.22	0.00e+00	0.307952	0.119603
7-15	7	172717174	172717324	-	9974.0	0.695	7957.000000	1389.01	0.00e+00	0.687247	0.291262
8-8	8	11923033	11923183	+	9936.1	1.000	7881.000000	51751.90	0.00e+00	1.000000	0.000000
1-9	1	61297416	61297566	-	9840.3	0.692	7810.000000	25626.42	0.00e+00	0.709156	0.199295
10-10	10	4169444	4169594	-	9773.5	0.932	7962.000000	813.18	0.00e+00	0.928654	0.102888
8-9	8	16919544	16919694	+	9768.5	0.741	7755.000000	382.55	0.00e+00	0.685487	0.142436
9-4	9	139441591	139441741	+	9678.9	0.935	7690.000000	2625.64	0.00e+00	0.934358	0.952381
5-10	5	4102626	4102776	-	9643.6	0.967	7657.000000	3613.56	0.00e+00	0.968219	0.440329
7-13	7	154308265	154308415	-	9603.3	0.871	8113.000000	853.55	0.00e+00	0.649153	0.203669
1-10	1	208340669	208340819	+	9575.6	0.916	7595.000000	5799.28	0.00e+00	0.916656	0.077409
5-11	5	199643267	199643417	+	9380.1	0.910	7458.000000	1282.31	0.00e+00	0.812769	0.671213
2-10	2	204830296	204830446	+	9341.1	0.948	7412.000000	1318.49	0.00e+00	0.903631	0.560224
3-14	3	12613510	12613660	-	9228.9	0.816	7495.000000	392.71	0.00e+00	0.371332	0.439664
7-16	7	41438367	41438517	-	9213.7	0.968	7385.000000	1113.44	0.00e+00	0.970443	0.250000
10-11	10	24586070	24586220	+	9042.3	0.983	7176.000000	2150.51	0.00e+00	0.669638	0.307331
1-11	1	44808483	44808633	-	8998.1	0.954	7225.000000	1370.36	0.00e+00	0.953342	0.381381
5-12	5	141204829	141204979	+	8914.9	0.660	7435.000000	600.68	0.00e+00	0.525311	0.207626
7-17	7	149600662	149600812	+	8908.6	0.495	7161.000000	804.16	0.00e+00	0.424923	0.458760
2-11	2	1465378	1465528	-	8885.9	0.875	7074.000000	2279.89	0.00e+00	0.877696	0.831787
8-10	8	102060898	102061048	-	8817.8	0.992	6995.000000	5533.41	0.00e+00	0.991135	0.790323
3-15	3	230529825	230529975	+	8633.8	0.978	6858.000000	11833.82	0.00e+00	0.969334	0.795238
1-12	1	280771980	280772130	+	8623.7	0.987	7083.000000	1106.31	0.00e+00	0.989477	0.944444
1-13	1	180333556	180333706	+	8585.9	0.962	6810.000000	5323.69	0.00e+00	0.864758	0.347448
5-13	5	56872304	56872454	-	8477.4	0.955	6737.000000	9394.52	0.00e+00	0.954194	0.230519
6-15	6	137100854	137101004	-	8442.1	1.000	6696.000000	879408.00	0.00e+00	0.837366	0.001837
10-13	10	3193383	3193533	+	8389.2	0.921	6662.000000	2152.44	0.00e+00	0.909378	0.688226
8-11	8	166222226	166222376	-	8372.8	0.934	6736.000000	2259.55	0.00e+00	0.573623	0.638958
5-14	5	106578674	106578824	+	8329.9	0.995	6607.000000	1011.33	0.00e+00	0.676760	0.205152
3-17	3	138151945	138152095	-	8274.4	0.703	6605.000000	1833.92	0.00e+00	0.396008	0.589808
3-16	3	147440116	147440266	-	8232.8	0.952	6634.000000	164.99	0.00e+00	0.945764	0.833333
1-14	1	18187907	18188057	+	8202.6	0.991	6515.000000	2413.71	0.00e+00	0.992622	0.375000
8-12	8	16446978	16447128	-	8182.4	0.761	6517.000000	2521.76	0.00e+00	0.751080	0.553284
5-15	5	2814547	2814697	-	8167.3	0.959	6478.000000	2744.44	0.00e+00	0.488573	0.126208
4-9	4	237452476	237452626	+	7970.6	0.871	6439.000000	898.58	0.00e+00	0.885005	0.038514
