# HOMER Peaks
# Peak finding parameters:
# tag directory = posFile_87_88/
#
# total peaks = 24049
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 3330485.0
# Total tags in peaks = 2982007.0
# Approximate IP efficiency = 89.54%
# tags per bp = 0.001665
# expected tags per peak = 0.125
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.282337e-07
# FDR tag threshold = 5.0
# number of putative peaks = 27650
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3601
#
# cmd = findPeaks posFile_87_88/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
4-1	4	1079018	1079168	+	640720.5	0.993	213423.000000	40382.35	0.00e+00	0.992272	0.798059
2-1	2	18759421	18759571	-	422154.7	0.997	140729.000000	13303.46	0.00e+00	0.995583	0.434783
4-2	4	152459545	152459695	-	162360.7	0.994	54227.000000	2739.86	0.00e+00	0.993823	0.685629
10-1	10	34240583	34240733	+	155088.5	0.979	51676.000000	3464.57	0.00e+00	0.978665	0.145191
7-1	7	3888867	3889017	+	45404.8	0.985	15126.000000	26838.14	0.00e+00	0.969515	0.223427
5-1	5	47608115	47608265	+	44047.6	0.955	14771.000000	3107.52	0.00e+00	0.955010	0.557576
1-1	1	178504641	178504791	-	41336.3	0.979	13879.000000	1514.29	0.00e+00	0.978790	0.702055
6-1	6	38086357	38086507	-	33343.5	0.975	11139.000000	15852.79	0.00e+00	0.930572	0.457847
6-2	6	156319430	156319580	-	31280.7	0.998	10419.000000	1533.89	0.00e+00	0.995873	0.395349
10-2	10	8853856	8854006	-	29755.4	0.957	9926.000000	6443.14	0.00e+00	0.956710	0.902098
1-2	1	222643807	222643957	+	28248.1	0.983	9431.000000	4864.50	0.00e+00	0.983105	0.761006
6-3	6	163078667	163078817	+	27050.1	0.990	9010.000000	4515.96	0.00e+00	0.988678	0.313725
7-2	7	12253873	12254023	+	26494.6	1.000	8832.000000	14486.07	0.00e+00	0.999320	0.166667
3-1	3	129173955	129174105	+	26200.4	0.997	8728.000000	81858.19	0.00e+00	0.998969	1.000000
8-1	8	102060898	102061048	-	25269.6	0.994	8421.000000	5418.14	0.00e+00	0.994059	0.860000
6-4	6	124985514	124985664	+	24491.9	0.852	8175.000000	3433.61	0.00e+00	0.832232	0.619985
2-2	2	209957162	209957312	-	23450.0	0.977	7813.000000	22298.12	0.00e+00	0.976825	0.022099
9-1	9	118709013	118709163	-	22654.4	0.997	7545.000000	5566.91	0.00e+00	0.972565	0.657005
6-5	6	4596812	4596962	+	18642.9	0.998	6209.000000	81544.87	0.00e+00	0.992591	0.217391
1-3	1	264274998	264275148	+	18603.9	0.942	6232.000000	2659.29	0.00e+00	0.937056	0.348718
2-3	2	54246354	54246504	-	17817.2	0.984	5958.000000	7216.04	0.00e+00	0.995787	0.440000
10-3	10	144892971	144893121	-	17447.9	0.991	5819.000000	11924.66	0.00e+00	0.991912	0.595745
5-2	5	191964204	191964354	-	16940.5	0.987	5661.000000	4258.52	0.00e+00	0.986352	0.584416
9-2	9	138678294	138678444	+	16766.3	0.992	5585.000000	19299.09	0.00e+00	0.992479	0.380952
8-2	8	69108691	69108841	+	16312.9	0.995	6079.000000	333.74	0.00e+00	0.993747	0.441176
4-3	4	163681370	163681520	-	15556.3	0.976	5189.000000	10974.81	0.00e+00	0.997298	0.357143
4-4	4	240779493	240779643	+	15535.3	0.641	5187.000000	17882.07	0.00e+00	0.640897	0.989236
8-3	8	154978083	154978233	-	15463.2	0.995	5156.000000	5830.75	0.00e+00	0.995146	0.520000
4-5	4	21158599	21158749	+	15364.1	0.982	5162.000000	1083.92	0.00e+00	0.995701	0.090909
8-4	8	118570493	118570643	-	14967.8	0.966	5011.000000	2896.89	0.00e+00	0.963691	0.337017
7-3	7	11447619	11447769	-	14874.7	0.992	4996.000000	1527.29	0.00e+00	0.991724	0.853659
1-4	1	259365008	259365158	-	14859.7	0.926	4951.000000	4333.12	0.00e+00	0.923015	0.690289
1-5	1	194243643	194243793	+	14775.6	0.999	4924.000000	29376.88	0.00e+00	0.998984	0.200000
1-6	1	184733615	184733765	-	14169.1	0.968	4722.000000	2079.74	0.00e+00	0.979233	0.204082
6-6	6	128648206	128648356	+	14109.1	0.959	4703.000000	7911.99	0.00e+00	0.959566	0.142105
