# HOMER Peaks
# Peak finding parameters:
# tag directory = posFile_85_86/
#
# total peaks = 25136
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 5587794.0
# Total tags in peaks = 5118242.0
# Approximate IP efficiency = 91.60%
# tags per bp = 0.002794
# expected tags per peak = 0.210
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 9.827484e-08
# FDR tag threshold = 6.0
# number of putative peaks = 28006
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 2870
#
# cmd = findPeaks posFile_85_86/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
2-1	2	18759421	18759571	-	220205.0	0.998	123279.000000	10399.00	0.00e+00	0.996384	0.548315
4-1	4	1079018	1079168	+	182177.4	0.991	101831.000000	42308.04	0.00e+00	0.989410	0.756957
3-1	3	47220807	47220957	+	154254.1	0.933	86196.000000	23102.34	0.00e+00	0.946156	0.063133
7-1	7	147095151	147095301	-	125052.9	0.995	70011.000000	3548.79	0.00e+00	0.995907	0.667832
6-1	6	146189891	146190041	-	88237.0	0.987	49557.000000	2228.28	0.00e+00	0.987079	0.654631
scaffold_159-1	scaffold_159	726	876	+	84852.8	0.998	47448.000000	16561.27	0.00e+00	0.953392	0.027149
6-2	6	54372804	54372954	+	80745.6	0.978	45120.000000	4771.04	0.00e+00	0.956721	0.509744
1-1	1	213701326	213701476	-	79786.4	0.992	44583.000000	7020.66	0.00e+00	0.918220	0.832419
3-2	3	192096885	192097035	+	74698.5	0.940	41767.000000	10582.73	0.00e+00	0.943875	0.154076
6-3	6	164174699	164174849	-	70083.1	0.941	39484.000000	3663.21	0.00e+00	0.664895	0.707914
4-2	4	190229940	190230090	-	68735.5	0.983	38586.000000	4101.02	0.00e+00	0.981853	0.837877
9-1	9	122485625	122485775	-	68383.0	0.998	38220.000000	1158.44	0.00e+00	0.998508	0.543860
7-2	7	160294975	160295125	+	65467.7	0.978	36699.000000	7774.17	0.00e+00	0.975179	0.468062
9-2	9	103448225	103448375	-	56403.3	0.969	31554.000000	1290.28	0.00e+00	0.858407	0.705421
1-2	1	141745594	141745744	+	54447.2	0.995	30437.000000	24664.72	0.00e+00	0.994971	0.777778
2-2	2	207611926	207612076	+	52337.3	0.974	29282.000000	2870.59	0.00e+00	0.941870	0.720000
7-3	7	157607901	157608051	+	50987.9	0.931	28624.000000	3897.73	0.00e+00	0.787266	0.172744
